Bye Week,K.J. Wright,Won at $0
Bye Week,Ronnie Harrison,Dropped
Bye Week,Gerald Everett,Won at $0
Veteran Minimum,Malcolm Jenkins,Dropped
Veteran Minimum,Montae Nicholson,Won at $2
Veteran Minimum,Roquan Smith,Dropped
Veteran Minimum,Damien Wilson,Won at $3
Veteran Minimum,Colt McCoy,Dropped
Veteran Minimum,Case Keenum,Won at $7
Team Suzy,Eric Weddle,Dropped
Team Suzy,Neville Hewitt,Won at $0
Flowers &amp; Flowers,Tremaine Edmunds,Dropped
Flowers &amp; Flowers,Preston Brown,Won at $0
Flowers &amp; Flowers,DeAndre Hopkins,Traded From Bye Week
Bye Week,Robert Woods,Traded From Flowers &amp; Flowers
2 Gurleys 1 Kupp,Gerald Everett,Dropped
2 Gurleys 1 Kupp,Jamison Crowder,Won at $0
Placeholder,Khari Willis,Dropped
Placeholder,Jaire Alexander,Won at $0
SKEET BALL,Jimmy Graham,Won at $1
SKEET BALL,Denico Autry,Dropped
2 Gurleys 1 Kupp,Anthony Hitchens,Dropped
2 Gurleys 1 Kupp,Fred Warner,Won at $0
2 Gurleys 1 Kupp,Chase Edmonds,Won at $0
SKEET BALL,Matt Milano,Dropped
SKEET BALL,Nick Vigil,Won at $0
Donalds Ducks,Kyle Van Noy,Dropped
Donalds Ducks,Everson Griffen,Won at $1
Bye Week,Darren Waller,Traded From 2 Gurleys 1 Kupp
2 Gurleys 1 Kupp,George Kittle,Traded From Bye Week
Team Suzy,Mark Andrews,Traded From SKEET BALL
SKEET BALL,Ezekiel Elliott,Traded From Team Suzy
Team Suzy,Baker Mayfield,Traded From Peacocks
Peacocks,Deshaun Watson,Traded From Team Suzy
2 Gurleys 1 Kupp,Chris Herndon,Dropped
FUCK YOU MELVIN JUST PLAY,Dre Kirkpatrick,Won at $0
2 Gurleys 1 Kupp,Gerald Everett,Won at $0
FUCK YOU MELVIN JUST PLAY,Mike Nugent,Won at $0
SKEET BALL,Jay Ajayi,Dropped
SKEET BALL,Matthew Ioannidis,Won at $1
2 Gurleys 1 Kupp,Chris Herndon,Won at $2
Peacocks,Wayne Gallman,Dropped
Peacocks,Hayden Hurst,Won at $3
Peacocks,Demarcus Robinson,Dropped
Peacocks,Reshad Jones,Won at $3
Team Suzy,Chris Jones,Dropped
Team Suzy,Dede Westbrook,Won at $4
Veteran Minimum,Giovani Bernard,Dropped
Veteran Minimum,Kenyan Drake,Won at $8
Veteran Minimum,Eric Wilson,Dropped
Veteran Minimum,Preston Smith,Won at $9
FUCK YOU MELVIN JUST PLAY,Darrel Williams,Dropped
FUCK YOU MELVIN JUST PLAY,Jared Cook,Dropped
2 Gurleys 1 Kupp,Anthony Walker,Dropped
2 Gurleys 1 Kupp,Nyheim Hines,Dropped
SKEET BALL,Clay Matthews,Dropped
The Tank,Stephen Gostkowski,Dropped
The Tank,Robbie Gould,Won at $0
2 Gurleys 1 Kupp,Nyheim Hines,Won at $0
Veteran Minimum,Blake Jarwin,Dropped
Veteran Minimum,Giovani Bernard,Won at $0
2 Gurleys 1 Kupp,Jaylen Samuels,Dropped
2 Gurleys 1 Kupp,Robby Anderson,Dropped
Bye Week,Ronnie Harrison,Won at $0
Bye Week,Daniel Jones,Traded From 2 Gurleys 1 Kupp
2 Gurleys 1 Kupp,Josh Allen,Traded From Bye Week
2 Gurleys 1 Kupp,Marlon Mack,Traded From Bye Week
Team Suzy,Cole Beasley,Dropped
Team Suzy,Diontae Johnson,Won at $0
2 Gurleys 1 Kupp,Johnathan Joseph,Dropped
2 Gurleys 1 Kupp,Anthony Walker,Won at $0
Veteran Minimum,Kenyan Drake,Dropped
Veteran Minimum,Colt McCoy,Won at $7
Placeholder,Jordan Whitehead,Dropped
Placeholder,Khari Willis,Won at $0
Placeholder,Ty Long,Dropped
Placeholder,Jake Elliott,Won at $0
Placeholder,Jerome Baker,Dropped
Placeholder,Jayon Brown,Won at $0
Team Suzy,John Ross,Dropped
Team Suzy,Cole Beasley,Won at $0
2 Gurleys 1 Kupp,Jaylen Samuels,Won at $0
Veteran Minimum,Zane Gonzalez,Dropped
Veteran Minimum,Josh Lambo,Won at $1
2 Gurleys 1 Kupp,Vernon III Hargreaves,Dropped
FUCK YOU MELVIN JUST PLAY,Melvin Ingram,Dropped
FUCK YOU MELVIN JUST PLAY,Tevin Coleman,Won at $0
FUCK YOU MELVIN JUST PLAY,Brett Maher,Dropped
FUCK YOU MELVIN JUST PLAY,Jared Cook,Won at $0
Team Suzy,Phillip Dorsett,Dropped
Team Suzy,Eric Weddle,Won at $0
2 Gurleys 1 Kupp,Robby Anderson,Won at $1
Donalds Ducks,Wesley Woodyard,Dropped
Donalds Ducks,Kyle Van Noy,Won at $2
Veteran Minimum,Fletcher Cox,Dropped
Veteran Minimum,Nick Williams,Won at $3
Veteran Minimum,Case Keenum,Dropped
Veteran Minimum,Kenyan Drake,Won at $3
SKEET BALL,Jerick McKinnon,Dropped
SKEET BALL,De'Vondre Campbell,Won at $3
2 Gurleys 1 Kupp,Fred Warner,Dropped
2 Gurleys 1 Kupp,Vonn Bell,Won at $3
Bye Week,Everson Griffen,Dropped
Bye Week,Mario Addison,Won at $5
Donalds Ducks,D.J. Swearinger,Dropped
Donalds Ducks,Frank Gore,Won at $5
Bye Week,Chase Daniel,Won at $12
