FUCK YOU LEVEON JUST PLAY,Benardrick McKinney,LB,Won at $1
2 Gurleys 1 Kupp,Brandon Graham,DL,Won at $1
Team Suzy,Carlos Dunlap,DL,Dropped
Team Suzy,Jay Ajayi,RB,Won at $4
SKEET BALL,Adam Humphries,WR,Dropped
SKEET BALL,Logan Ryan,DB,Won at $4
It's Complicated,Josh McCown,QB,Dropped
It's Complicated,Rashaad Penny,RB,Won at $5
Team Suzy,Ezekiel Elliott,RB,Traded From It's Complicated
Team Suzy,Greg Olsen,TE,Traded From It's Complicated
It's Complicated,Devonta Freeman,RB,Traded From Team Suzy
It's Complicated,Jimmy Garoppolo,QB,Traded From Team Suzy
2 Gurleys 1 Kupp,Chidobe Awuzie,DB,Dropped
It's Complicated,Latavius Murray,RB,Dropped
It's Complicated,Kenny Vaccaro,DB,Won at $0
2017 Cleveland Browns,Corey Clement,RB,Dropped
2017 Cleveland Browns,Mike Williams,WR,Won at $0
2017 Cleveland Browns,Dez Bryant,WR,Dropped
Odell Beckham Jesus,Dustin Hopkins,K,Dropped
Odell Beckham Jesus,Adam Vinatieri,K,Won at $0
Odell Beckham Jesus,Logan Ryan,DB,Dropped
Odell Beckham Jesus,Justin Evans,DB,Won at $0
Odell Beckham Jesus,Linval Joseph,DL,Dropped
Odell Beckham Jesus,Marcell Dareus,DL,Won at $0
2017 Cleveland Browns,Lorenzo Alexander,LB,Dropped
2017 Cleveland Browns,Cordarrelle Patterson,WR,Won at $0
FUCK YOU LEVEON JUST PLAY,Josh Allen,QB,Dropped
FUCK YOU LEVEON JUST PLAY,Jack Doyle,TE,Won at $2
FUCK YOU LEVEON JUST PLAY,Jordan Poyer,DB,Dropped
FUCK YOU LEVEON JUST PLAY,Mike Davis,RB,Won at $2
2 Gurleys 1 Kupp,Jay Ajayi,RB,Dropped
2 Gurleys 1 Kupp,Preston Brown,LB,Won at $1
Placeholder,Romeo Okwara,DL,Dropped
Placeholder,Jared Cook,TE,Won at $0
Peacocks,Reuben Foster,LB,Dropped
Peacocks,Alec Ogletree,LB,Won at $2
Team Suzy,Mike Davis,RB,Dropped
Team Suzy,Jimmy Garoppolo,QB,Won at $4
Veteran Minimum,Tony Jefferson,DB,Dropped
Veteran Minimum,Duke Johnson,RB,Won at $13
It's Complicated,Jordy Nelson,WR,Dropped
It's Complicated,Josh McCown,QB,Won at $30
Team Suzy,Frank Gore,RB,Dropped
Team Suzy,Mike Davis,RB,Won at $0
2017 Cleveland Browns,Benardrick McKinney,LB,Dropped
2017 Cleveland Browns,Derrick Henry,RB,Won at $0
Team Suzy,Jerry Hughes,DL,Dropped
Team Suzy,Joe Schobert,LB,Won at $0
2017 Cleveland Browns,Chris Hogan,WR,Dropped
2017 Cleveland Browns,Dez Bryant,WR,Won at $61
Peacocks,Keelan Cole,WR,Dropped
Peacocks,Yannick Ngakoue,DL,Won at $0
Team Suzy,Jimmy Garoppolo,QB,Dropped
Team Suzy,Frank Gore,RB,Won at $0
2 Gurleys 1 Kupp,Jared Cook,TE,Dropped
2 Gurleys 1 Kupp,Chidobe Awuzie,DB,Won at $1
Veteran Minimum,Dan Bailey,K,Dropped
Veteran Minimum,Mike Badgley,K,Won at $2
The Tank,Royce Freeman,RB,Dropped
The Tank,K.J. Wright,LB,Won at $2
Peacocks,Janoris Jenkins,DB,Won at $2
Team Suzy,DeVante Parker,WR,Dropped
Team Suzy,Carlos Dunlap,DL,Won at $4
SKEET BALL,Adam Humphries,WR,Won at $4
Team Suzy,Peyton Barber,RB,Dropped
Team Suzy,Clayton Geathers,DB,Won at $4
SKEET BALL,Ndamukong Suh,DL,Dropped
SKEET BALL,Mario Addison,DL,Won at $4
FUCK YOU LEVEON JUST PLAY,Duke Johnson,RB,Dropped
FUCK YOU LEVEON JUST PLAY,Josh Allen,QB,Won at $4
2 Gurleys 1 Kupp,Brock Osweiler,QB,Dropped
2 Gurleys 1 Kupp,Nick Mullens,QB,Won at $52
SKEET BALL,Kareem Jackson,DB,Dropped
Team Suzy,Grady Jarrett,DL,Dropped
