THE TANK,Marcus Mariota,QB | TEN,10
ODELL BECKHAM JESUS,Sammy Watkins,WR | KC,1
ODELL BECKHAM JESUS,Jameis Winston,QB | TB,4
ODELL BECKHAM JESUS,Ty Montgomery,RB | BAL,4
ODELL BECKHAM JESUS,Justin Lawler,DL | LAR,6
ODELL BECKHAM JESUS,Jason Pierre-Paul,DL | TB,2
PEACOCKS,Philip Rivers,QB | LAC,14
PEACOCKS,Derrick Henry,RB | TEN,24
PEACOCKS,Dion Lewis,RB | TEN,4
PEACOCKS,Mike Evans,WR | TB,27
PEACOCKS,Julio Jones,WR | ATL,36
PEACOCKS,Jimmy Graham,TE | GB,9
PEACOCKS,Golden Tate,WR | PHI,11
PEACOCKS,Keenan Allen,WR | LAC,27
PEACOCKS,Robbie Gould,K | SF,1
PEACOCKS,Jarrad Davis,LB | DET,1
PEACOCKS,Deone Bucannon,LB | ARI,1
PEACOCKS,Eric Weddle ,DB | BAL,2
PEACOCKS,Sean Davis,DB | PIT,2
PEACOCKS,Danielle Hunter,DL | MIN,3
PEACOCKS,Matt Ryan,QB | ATL,15
PEACOCKS,Matt Breida,RB | SF,4
PEACOCKS,Baker Mayfield,QB | CLE,2
PEACOCKS,Peyton Barber,RB | TB,4
PEACOCKS,Nick Chubb,RB | CLE,1
PEACOCKS,Aaron Jones,RB | GB,1
PEACOCKS,Benardrick McKinney,LB | HOU,1
PEACOCKS,Cameron Jordan,DL | NO,5
PEACOCKS,Myles Garrett,DL | CLE,5
PLACEHOLDER,Andrew Luck,QB | IND,19
PLACEHOLDER,Carlos Hyde,RB | JAC,9
PLACEHOLDER,Rex Burkhead,RB | NE,7
PLACEHOLDER,Michael Thomas,WR | NO,28
PLACEHOLDER,Adam Thielen,WR | MIN,16
PLACEHOLDER,Rob Gronkowski,TE | NE,26
PLACEHOLDER,Larry Fitzgerald,WR | ARI,10
PLACEHOLDER,Marshawn Lynch,RB | OAK,9
PLACEHOLDER,Matt Bryant,K | ATL,1
PLACEHOLDER,Luke Kuechly ,LB | CAR,18
PLACEHOLDER,Bradley Chubb,LB | DEN,4
PLACEHOLDER,Micah Hyde,DB | BUF,3
PLACEHOLDER,Ronald Darby,DB | PHI,1
PLACEHOLDER,Joe Schobert,LB | CLE,1
PLACEHOLDER,Tarik Cohen,RB | CHI,5
PLACEHOLDER,Robby Anderson,WR | NYJ,3
PLACEHOLDER,Mitchell Trubisky,QB | CHI,6
PLACEHOLDER,Marquise Goodwin,WR | SF,6
PLACEHOLDER,Randall Cobb,WR | GB,2
PLACEHOLDER,Keelan Cole,WR | JAC,2
PLACEHOLDER,Adrian Peterson,RB | WAS,2
PLACEHOLDER,Joey Bosa,DL | LAC,16
PLACEHOLDER,Calais Campbell,DL | JAC,6
SKEET BALL,Aaron Rodgers,QB | GB,35
SKEET BALL,Saquon Barkley,RB | NYG,43
SKEET BALL,James White,RB | NE,2
SKEET BALL,Josh Gordon,WR | NE,12
SKEET BALL,Chris Hogan,WR | NE,6
SKEET BALL,Delanie Walker,TE | TEN,6
SKEET BALL,Jamaal Williams,RB | GB,4
SKEET BALL,Tom Brady,QB | NE,28
SKEET BALL,Chris Boswell,K | PIT,1
SKEET BALL,Von Miller,LB | DEN,17
SKEET BALL,Telvin Smith ,LB | JAC,11
SKEET BALL,Jamal Adams,DB | NYJ,7
SKEET BALL,Jahleel Addae,DB | LAC,1
SKEET BALL,Sean Lee,LB | DAL,5
